TransactionNo,Items,DateTime,DayType,Location,Date,Year,Month,Day,Hour,Month_Number,Day_Number
1,Original Glazed,2016-10-30 09:58:11,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
2,Glazed Chocolate Cake,2016-10-30 10:05:34,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
2,Glazed Chocolate Cake,2016-10-30 10:05:34,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
3,Drinks,2016-10-30 10:07:57,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
3,Chocolate Iced Glazed,2016-10-30 10:07:57,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
3,Chocolate Iced Glazed,2016-10-30 10:07:57,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
4,Chocolate Iced Glazed,2016-10-30 10:08:41,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
5,Original Glazed,2016-10-30 10:13:03,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
5,Glazed Chocolate Cake,2016-10-30 10:13:03,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
5,Original Glazed,2016-10-30 10:13:03,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
6,Glazed Chocolate Cake,2016-10-30 10:16:55,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
6,Glazed Chocolate Cake,2016-10-30 10:16:55,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
6,Chocolate Iced Glazed,2016-10-30 10:16:55,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
7,Glazed Chocolate Cake,2016-10-30 10:19:12,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
7,Glazed Chocolate Cake,2016-10-30 10:19:12,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
7,Original Glazed,2016-10-30 10:19:12,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
7,Glazed Chocolate Cake,2016-10-30 10:19:12,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
8,Glazed Chocolate Cake,2016-10-30 10:20:51,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
8,Original Glazed,2016-10-30 10:20:51,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
9,Original Glazed,2016-10-30 10:21:59,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
9,Chocolate Iced Glazed,2016-10-30 10:21:59,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
10,Glazed Chocolate Cake,2016-10-30 10:25:58,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
10,Glazed Chocolate Cake,2016-10-30 10:25:58,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
11,Original Glazed,2016-10-30 10:27:21,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
11,Glazed Chocolate Cake,2016-10-30 10:27:21,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
11,Original Glazed,2016-10-30 10:27:21,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
12,Chocolate Iced Glazed,2016-10-30 10:30:14,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
12,Original Glazed,2016-10-30 10:30:14,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
12,Drinks,2016-10-30 10:30:14,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
12,Glazed Chocolate Cake,2016-10-30 10:30:14,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
12,Glazed Chocolate Cake,2016-10-30 10:30:14,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
13,Drinks,2016-10-30 10:31:24,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
13,Original Glazed,2016-10-30 10:31:24,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
13,Original Glazed,2016-10-30 10:31:24,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
14,Original Glazed,2016-10-30 10:32:46,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
14,Glazed Chocolate Cake,2016-10-30 10:32:46,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
14,Glazed Chocolate Cake,2016-10-30 10:32:46,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
15,Glazed Chocolate Cake,2016-10-30 10:34:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
15,Glazed Chocolate Cake,2016-10-30 10:34:36,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
16,Original Glazed,2016-10-30 10:37:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
16,Glazed Chocolate Cake,2016-10-30 10:37:08,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
16,Original Glazed,2016-10-30 10:37:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
17,Drinks,2016-10-30 10:38:04,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
18,Chocolate Iced Glazed,2016-10-30 10:41:56,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
19,Chocolate Iced Glazed,2016-10-30 10:43:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
19,Original Glazed,2016-10-30 10:43:08,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
20,Original Glazed,2016-10-30 10:45:22,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
20,Glazed Chocolate Cake,2016-10-30 10:45:22,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
21,Original Glazed,2016-10-30 10:49:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
21,Original Glazed,2016-10-30 10:49:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
21,Glazed Chocolate Cake,2016-10-30 10:49:29,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
21,Original Glazed,2016-10-30 10:49:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
22,Chocolate Iced Glazed,2016-10-30 10:52:15,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
23,Glazed Chocolate Cake,2016-10-30 10:53:49,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
